id,bill_amount,quantity,sales_id,product_id,store_id,created_at,invoice_number,mis_reporting_category,bill_amount_generic,Month
1327,42.13,1,952,21469,36,2024-07-18 12:03:56.000000,SC2502000341,Branded,0.0,July-24
1351,1105.8,2,968,29341,36,2024-07-19 14:47:27.000000,SC2502000354,Branded,0.0,July-24
1352,5.64,2,968,11734,36,2024-07-19 14:47:27.000000,SC2502000354,Generic,5.64,July-24
683,,1,565,14166,25,2024-06-20 16:11:52.000000,SC2500500006,Branded,0.0,June-24
684,,1,565,24054,25,2024-06-20 16:11:52.000000,SC2500500006,Branded,0.0,June-24
685,,2,565,15237,25,2024-06-20 16:11:52.000000,SC2500500006,Generic,,June-24
705,901.0,10,580,12041,36,2024-06-21 11:29:44.000000,SC2502000138,Branded,0.0,June-24
706,1473.7,5,580,27490,36,2024-06-21 11:29:44.000000,SC2502000138,Branded,0.0,June-24
707,479.82,3,580,18487,36,2024-06-21 11:29:44.000000,SC2502000138,Branded,0.0,June-24
708,758.65,5,580,18676,36,2024-06-21 11:29:44.000000,SC2502000138,Branded,0.0,June-24
729,28.56,1,590,21474,36,2024-06-21 18:04:11.000000,SC2502000143,Branded,0.0,June-24
744,242.25,3,600,27204,28,2024-06-21 18:38:32.000000,SC2502400003,Branded,0.0,June-24
745,1190.0,2,600,28995,28,2024-06-21 18:38:32.000000,SC2502400003,Generic,1190.0,June-24
1353,19.0,2,968,23269,36,2024-07-19 14:47:27.000000,SC2502000354,Branded,0.0,July-24
852,838.1,10,655,13081,36,2024-06-24 11:41:28.000000,SC2502000175,Branded,0.0,June-24
853,639.76,4,655,18487,36,2024-06-24 11:41:28.000000,SC2502000175,Branded,0.0,June-24
818,139.1,10,640,21472,36,2024-06-23 08:22:49.000000,SC2502000165,Branded,0.0,June-24
819,639.76,4,640,18487,36,2024-06-23 08:22:49.000000,SC2502000165,Branded,0.0,June-24
879,838.1,10,665,13081,36,2024-06-24 12:43:12.000000,SC2502000185,Branded,0.0,June-24
880,639.76,4,665,18487,36,2024-06-24 12:43:12.000000,SC2502000185,Branded,0.0,June-24
923,2507.5,10,695,21745,36,2024-06-24 14:41:09.000000,SC2502000195,Branded,0.0,June-24
933,335.24,4,702,13081,36,2024-06-24 15:44:50.000000,SC2502000200,Branded,0.0,June-24
934,319.88,2,702,18487,36,2024-06-24 15:44:50.000000,SC2502000200,Branded,0.0,June-24
935,85.0,1,702,30196,36,2024-06-24 15:44:50.000000,SC2502000200,Generic,85.0,June-24
948,335.24,4,716,13081,36,2024-06-24 16:19:07.000000,SC2502000205,Branded,0.0,June-24
